geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
CASC4	5501.36666666667	4426.23333333333	7956.53333333333	6934.63333333333	5925.16666666667	5445.36666666667	6458	6121.9	10143.9666666667	3564.1	3050	6320.73333333333	4086	4503.66666666667
CASC5	363.9	540.15	350.475	295.725	399.5	167.7	605.5	330.525	225.225	175.3	321.625	340.325	286.65	248.225
CASC6	55.4	9	6.2	8.6	10.6	3.6	11.2	14	10.3	14.5	42.9	19.5	15.1	7.6
CASC7	143.6	358.3	178.1	140.4	161.9	228.8	185.5	138.6	143.9	221.9	144.4	204.2	244.5	235.5
CASD1	404.566666666667	413	453.533333333333	488.6	484.666666666667	478.8	426.933333333333	539.766666666667	523.4	482.366666666667	508.866666666667	388.666666666667	456.533333333333	412.366666666667
CASK	988.8	1269.18	662.08	962.48	1118.06	1044.84	819.22	903.42	1323.54	705.62	968.96	1016.84	1017.68	894.06
CASKIN1	56.4333333333333	71.6	53.5666666666667	112.966666666667	70.3666666666667	131.866666666667	123.3	88.2666666666667	28.3333333333333	116.966666666667	248.8	161.6	120.333333333333	64.0333333333333
CASKIN2	155.3	547	299.3	254.7	244	412.6	418.15	302.55	304.95	702.9	296.5	962.95	808.2	857.05
CASP1	697.4	371.58	1153.48	1322.52	547.04	377.9	749.1	407.94	596	492.96	867.86	920.98	940.86	724.12
CASP10	199.5	168.7	141.65	125.475	88.5	88.3	72.675	93.675	50.525	57.725	258.075	170.85	174.9	135.7
CASP12	123.7	104.1	63.1	65	7.4	6.5	56.5	42.1	50.3	8.6	29.7	14.6	91.4	71.2
CASP14	18.9	93.1	37.9	58.9	82.9	8	6.2	7.5	41.5	16.2	150.2	55.5	30.5	12.5
CASP16	78.4	136.8	18.5	95.1	94.1	25.5	102.2	89.3	21.1	37.8	695.1	19.5	201.2	123.8
CASP2	503.485714285714	540.957142857143	421.957142857143	456.214285714286	432.242857142857	457.728571428571	606.9	555.685714285714	547.142857142857	404.671428571429	546.385714285714	570.885714285714	555.728571428572	524.757142857143
CASP3	4160.2	2826.5	5467.7	4344.7	3305.1	4092.6	4562.8	4300.4	4205.4	3193.6	2461.3	2841.5	2588.3	4625.5
CASP4	1149.4	952.45	1104.35	1421.2	1232.65	1078.85	1055.55	1288.2	1056.15	1350.45	1432.85	1220.45	1777.8	1457.2
CASP5	110.7	84.8	10.5	6.3	59.9	89	31.2	140.9	38.4	87.2	162	80.7	50.6	35
CASP6	1970.15	1272.1	1658.8	1808.5	1515.95	2246.15	2244.75	1920.65	1243.3	1013	1005.9	728.2	732	1109.25
CASP7	1100.3	1358.5	2050.2	2118.8	1500.7	1955.6	1821.2	1547.4	1442	1398.9	1783.2	1060.8	1499.5	1599
CASP8	643.266666666667	457.066666666667	806.666666666667	801.6	830.4	634.3	726.933333333333	712.7	584.933333333333	568.833333333333	501.133333333333	530.433333333333	750.066666666667	561.9
CASP8AP2	873.4	640.05	668.7	708.1	734.75	742.8	867.5	657.15	987.2	450.85	587.35	446.8	611.35	740.6
CASP9	507.2	515.166666666667	426.8	439.966666666667	534.366666666667	377.466666666667	429.633333333333	566.833333333333	608.833333333333	382.066666666667	635.133333333333	456.966666666667	280.266666666667	523.566666666667
CASQ1	27.1	92.1	67.8	32.2	22.2	26.7	54.8	54.3	4.2	54.7	164.9	22.9	5.7	107.2
CASQ2	10.9	22.6	13.3	19.3	8.7	16.5	13.5	22.6	17.2	31.1	181.9	18	86.6	47.4
CASR	46.48	54.16	62.04	62.38	43.3	42.42	52.22	48.42	70.06	46.06	180.56	26.18	131.84	123.7
CASS4	80.25	88.5	77.95	34.3	52.05	76.35	49.7	16.5	32.9	70.7	103.7	88.15	148	67.4
CAST	5774.46	6366.26	6116.4	5627.36	5032.3	7255.82	6203.4	6421.16	7028.06	4929.68	4043.44	5406.18	5698.28	5574.12
CASZ1	109.58	142.96	87.68	68.96	84.4	145.72	168.44	176.32	179.94	170.66	344.18	157.26	241.78	151.08
CAT	4784.96666666667	3234.73333333333	4258.86666666667	6650.63333333333	5247.26666666667	4504.33333333333	4330.63333333333	4056.73333333333	2270.03333333333	3623.23333333333	3224.56666666667	4709.33333333333	6686.63333333333	5820.3
CATIP-AS1	161.5	279.9	73.7	115.7	150.3	134.6	150.7	240.4	143.2	98	193.5	74.2	271.2	138.8
CATR1	8.3	3	4.9	6	6.5	25.9	9.2	12.1	5.8	7.6	110	6.9	3.8	5.7
CATSPER1	287.4	259.8	333.2	103.7	156.6	314.4	265.3	310.2	322.2	365.1	409.6	369.4	169.1	28.6
CATSPER3	114.2	75.1	65.6	96.4	5.1	106.5	73.2	186.8	154	99.6	198.4	90.1	124.1	66.8
